Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
21.0,4.0,11.0,0.21,0.0,8.0,0.56,8.0,20.0,1.0,3.62,33.43,6.98,0.38,0.08,0.2,0.12,-0.13,0.0,1603.0,0.0,7.0,0.0,0.0,0.0,0.0,1.7540065805535627e-05,8.770032902767813e-06,5.272558063619532e-06,1.3227041657229073,0.6,23.38,380.38,42.64,0.0
27.0,10.0,5.0,2.44,1.0,20.0,0.72,13.0,11.0,1.0,0.46,7.38,22.92,0.08,0.09,0.05,0.17,-0.28,4.0,635.0,39.0,0.0,0.0,0.0,39.0,39.0,9.630402163069764e-05,4.8152010815348816e-05,2.8489745752805257e-05,1.2332583445197618,1.0,12.02,134.79,81.89,1.0
4.0,6.0,7.0,3.61,1.0,9.0,0.48,19.0,10.0,0.0,0.9,13.88,7.96,0.13,0.04,0.16,0.1,-0.24,0.0,1577.0,0.0,4.0,0.0,0.0,0.0,0.0,6.512774437679427e-05,3.2563872188397134e-05,2.0435820380889056e-05,1.2526817126113092,1.0,23.75,354.8,46.48,1.0
22.0,18.0,13.0,4.77,0.0,14.0,0.53,17.0,7.0,1.0,1.41,20.95,11.5,0.3,0.08,0.07,0.02,-0.13,0.0,2032.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0001316255369277,6.581276846385795e-05,4.165642974778376e-05,1.2829784904267458,0.4,29.45,479.25,27.55,0.0
27.0,4.0,11.0,3.51,1.0,2.0,0.43,15.0,14.0,1.0,1.75,42.49,20.36,0.06,0.01,0.12,0.12,-0.23,9.0,656.0,155.0,2.0,0.0,0.0,155.0,155.0,9.883985004348618e-07,4.941992502174309e-07,3.341541863646524e-07,1.267668867393753,0.8,12.14,126.38,83.98,0.0
8.0,11.0,17.0,4.9,0.0,25.0,0.79,12.0,14.0,0.0,1.39,38.58,31.5,0.31,0.06,0.16,0.17,-0.16,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7506981245388753e-05,8.753490622694377e-06,5.813933312216655e-06,1.3578242730110806,1.0,10.57,88.93,87.62,1.0
22.0,20.0,13.0,4.89,0.0,4.0,0.61,5.0,1.0,0.0,4.75,6.05,31.87,0.36,0.05,0.08,0.03,-0.25,1.0,2511.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0001257500379399,6.287501896997328e-05,3.833182140326692e-05,1.2407675226681496,0.6,42.91,578.06,12.82,0.0
21.0,7.0,8.0,0.66,0.0,18.0,0.72,11.0,3.0,1.0,2.31,38.9,11.07,0.19,0.07,0.24,0.08,-0.03,8.0,579.0,155.0,2.0,0.0,0.0,155.0,155.0,5.045647408886362e-05,2.522823704443181e-05,1.6398557358007486e-05,1.3234740102989564,0.8,11.59,111.97,85.94,0.0
24.0,15.0,19.0,0.71,1.0,30.0,0.97,17.0,10.0,1.0,2.42,10.29,19.17,0.13,0.02,0.18,0.16,-0.03,923.0,976.0,0.0,11.0,0.0,0.0,0.0,0.0,1.029412093781975e-06,5.147060468909875e-07,4.293548747974865e-07,1.9159952712539816,0.0,2.08,122.06,93.53,0.0
13.0,8.0,1.0,0.23,1.0,23.0,0.24,19.0,7.0,0.0,1.14,31.49,30.46,0.49,0.06,0.28,0.09,-0.03,0.0,472.0,155.0,2.0,0.0,0.0,155.0,155.0,0.0001210200853481,6.051004267405798e-05,4.150797781446053e-05,1.3202106111128769,0.8,10.01,90.35,89.19,0.0
11.0,3.0,4.0,1.15,0.0,12.0,0.85,3.0,5.0,1.0,0.81,8.46,11.61,0.1,0.04,0.1,0.14,-0.07,772.0,796.0,0.0,10.0,0.0,0.0,0.0,0.0,7.844242957924111e-05,3.922121478962056e-05,3.26667390886725e-05,2.059263733602028,0.0,0.89,95.79,95.5,0.0
